Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+,total Sales,payment type-cash,payment type-visa/master,payment type-others,#of transaction,sqf,mthly rent,Restaurant Type,Location Type,Restaurant Status
73,2,1,3,2,1,2020,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,2697772,1021448,1653624.8,22699.2,12121,2000,125000,2,2,1
74,6,1,1,3,3,2020,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,5109,1991,100,3018,44,0,0,6,1,0
75,1,1,1,31,3,2020,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,169818.2,69959,69970,29889.2,3629,403,80000,1,1,1
76,6,3,13,21,1,2020,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,14662487,7552599,6338657,771231,52322,4000,100000,6,1,1
77,2,2,6,14,1,2020,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2758868.6,2758713.6,0,155,29303,382,22000,2,2,1
78,3,3,13,25,1,2020,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2902344,2902344,0,0,61551,300,35000,3,2,1
79,4,1,3,21,1,2020,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,3403848.7,3031324.3,0,372524.4,70666,700,48000,4,2,1
81,2,3,10,20,5,2020,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,1478698,1408029,61022,9647,2084,900,95000,2,2,1
82,1,2,5,10,5,2020,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,2681676.4,917821,676113,1087742.4,29728,500,80000,1,1,1
83,2,4,15,22,4,2020,2704,10590,17238,19400,19465,17622,17301,18667,14871,8365,4363,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,2512249.8,2512249.8,0,0,33945,2000,11000,2,2,1
84,2,3,13,1,3,2020,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,549359,480190,0,69169,12477,450,40000,2,1,1
85,2,2,9,28,5,2020,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,178450.7,149310.3,7009,22131.4,2378,500,56000,2,1,1
86,3,3,12,30,6,2020,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,937859.7,937859.7,0,0,19768,450,45000,3,1,1
87,2,1,3,10,7,2020,3380,16922,32334,37728,36941,34252,33867,39818,32962,17659,10510,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,1047544.2,616759,50058,380727.2,9933,1200,105000,2,2,1
88,2,2,6,1,8,2020,3062,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,179823.75,110475.75,19346,50002,2335,2347,102000,2,1,1
89,2,2,7,31,7,2020,2739,14357,25571,28335,26243,24622,24061,27139,22843,13328,7986,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,37489,5155,0,32334,470,1298,74000,2,4,1
90,2,2,5,1,9,2020,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,849212,395152,442101,11959,738,3200,10000,2,4,1
91,2,3,13,29,7,2020,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,741727.3,1045287.1,0,-303559.8,10591,450,35000,2,1,1
92,2,4,17,28,9,2020,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,629640,486176,0,143464,10801,1000,124568,2,4,1
93,2,2,5,30,8,2020,2490,13674,21068,22638,21187,20570,20092,23249,19295,10511,8310,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,0,0,0,0,0,1000,80000,2,2,0
94,2,4,17,31,8,2020,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,0,0,0,0,0,0,0,2,1,0
95,2,4,17,31,8,2020,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,416835,416835,0,0,2768,1800,120000,2,4,1
96,2,4,18,6,9,2020,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,1836351.7,1836351.7,0,0,16476,2000,65000,2,2,1
97,2,3,10,27,10,2020,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,70771.4,56474.3,2764.3,11532.8,420,1500,80000,2,2,1
